S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
11-Dec-2017,"2,659.99",+8.49,+0.32%,"2,652.19","2,651.47","2,660.33",
08-Dec-2017,"2,651.50",+14.52,+0.55%,"2,646.21","2,644.10","2,651.65",
07-Dec-2017,"2,636.98",+7.71,+0.29%,"2,628.38","2,626.53","2,640.99",
06-Dec-2017,"2,629.27",-0.30,-0.01%,"2,626.24","2,624.75","2,634.41",
05-Dec-2017,"2,629.57",-9.87,-0.37%,"2,639.78","2,627.73","2,648.72",
04-Dec-2017,"2,639.44",-2.78,-0.11%,"2,657.19","2,639.03","2,665.19",
01-Dec-2017,"2,642.22",-5.36,-0.20%,"2,645.10","2,605.52","2,650.62",
30-Nov-2017,"2,647.58",+21.51,+0.82%,"2,633.93","2,633.93","2,657.74",
29-Nov-2017,"2,626.07",-0.97,-0.04%,"2,627.82","2,620.32","2,634.89",
28-Nov-2017,"2,627.04",+25.62,+0.98%,"2,605.94","2,605.44","2,627.69",
27-Nov-2017,"2,601.42",-1.00,-0.04%,"2,602.66","2,598.87","2,606.41",
24-Nov-2017,"2,602.42",+5.34,+0.21%,"2,600.42","2,600.42","2,604.21",
22-Nov-2017,"2,597.08",-1.95,-0.08%,"2,600.31","2,595.23","2,600.94",
21-Nov-2017,"2,599.03",+16.89,+0.65%,"2,589.17","2,589.17","2,601.19",
20-Nov-2017,"2,582.14",+3.29,+0.13%,"2,579.49","2,578.24","2,584.64",
17-Nov-2017,"2,578.85",-6.79,-0.26%,"2,582.94","2,577.62","2,583.96",
16-Nov-2017,"2,585.64",+21.02,+0.82%,"2,572.95","2,572.95","2,590.09",
15-Nov-2017,"2,564.62",-14.25,-0.55%,"2,569.45","2,557.45","2,572.84",
14-Nov-2017,"2,578.87",-5.97,-0.23%,"2,577.75","2,566.56","2,579.66",
13-Nov-2017,"2,584.84",+2.54,+0.10%,"2,576.53","2,574.48","2,587.66",
10-Nov-2017,"2,582.30",-2.32,-0.09%,"2,580.18","2,575.57","2,583.81",
09-Nov-2017,"2,584.62",-9.76,-0.38%,"2,584.00","2,566.33","2,586.50",
08-Nov-2017,"2,594.38",+3.74,+0.14%,"2,588.71","2,585.02","2,595.47",
07-Nov-2017,"2,590.64",-0.49,-0.02%,"2,592.11","2,584.35","2,597.02",
06-Nov-2017,"2,591.13",+3.29,+0.13%,"2,587.47","2,585.66","2,593.38",
03-Nov-2017,"2,587.84",+7.99,+0.31%,"2,581.93","2,576.77","2,588.42",
02-Nov-2017,"2,579.85",+0.49,+0.02%,"2,579.46","2,566.17","2,581.11",
01-Nov-2017,"2,579.36",+4.10,+0.16%,"2,583.21","2,574.92","2,588.40",
31-Oct-2017,"2,575.26",+2.43,+0.09%,"2,575.99","2,572.15","2,578.29",
30-Oct-2017,"2,572.83",-8.24,-0.32%,"2,577.75","2,568.25","2,580.03",
27-Oct-2017,"2,581.07",+20.67,+0.81%,"2,570.26","2,565.94","2,582.98",
26-Oct-2017,"2,560.40",+3.25,+0.13%,"2,560.08","2,559.80","2,567.07",
25-Oct-2017,"2,557.15",-11.98,-0.47%,"2,566.52","2,544.00","2,567.40",
24-Oct-2017,"2,569.13",+4.15,+0.16%,"2,568.66","2,565.58","2,572.18",
23-Oct-2017,"2,564.98",-10.23,-0.40%,"2,578.08","2,564.33","2,578.29",
20-Oct-2017,"2,575.21",+13.11,+0.51%,"2,567.56","2,567.56","2,575.44",
19-Oct-2017,"2,562.10",+0.84,+0.03%,"2,553.39","2,547.92","2,562.36",
18-Oct-2017,"2,561.26",+1.90,+0.07%,"2,562.87","2,559.67","2,564.11",
17-Oct-2017,"2,559.36",+1.72,+0.07%,"2,557.17","2,554.69","2,559.71",
16-Oct-2017,"2,557.64",+4.47,+0.18%,"2,555.57","2,552.64","2,559.47",
13-Oct-2017,"2,553.17",+2.24,+0.09%,"2,555.66","2,552.09","2,557.65",
12-Oct-2017,"2,550.93",-4.31,-0.17%,"2,552.88","2,548.31","2,555.33",
11-Oct-2017,"2,555.24",+4.60,+0.18%,"2,550.62","2,547.95","2,555.24",
10-Oct-2017,"2,550.64",+5.91,+0.23%,"2,549.99","2,544.86","2,555.23",
09-Oct-2017,"2,544.73",-4.60,-0.18%,"2,551.39","2,541.60","2,551.82",
06-Oct-2017,"2,549.33",-2.74,-0.11%,"2,547.44","2,543.79","2,549.41",
05-Oct-2017,"2,552.07",+14.33,+0.56%,"2,540.86","2,540.02","2,552.51",
04-Oct-2017,"2,537.74",+3.16,+0.12%,"2,533.48","2,531.80","2,540.53",
03-Oct-2017,"2,534.58",+5.46,+0.22%,"2,530.34","2,528.85","2,535.13",
02-Oct-2017,"2,529.12",+9.76,+0.39%,"2,521.20","2,520.40","2,529.23",
29-Sep-2017,"2,519.36",+9.30,+0.37%,"2,509.96","2,507.99","2,519.44",
28-Sep-2017,"2,510.06",+3.02,+0.12%,"2,503.41","2,502.93","2,510.81",
27-Sep-2017,"2,507.04",+10.20,+0.41%,"2,503.30","2,495.91","2,511.75",
